from,to,relation
CA,DoBS1E1,1
CA,DoBS1E1,2
CA,DoBS1E2,1
CA,DoBS1E2,2
IZ,DoBS1E2,2
CA,DoBS1E3,1
CA,DoBS1E3,2
EY,DoBS1E3,2
CA,DoBS1E4,1
CA,DoBS1E4,2
MP,DoBS1E4,2
CA,DoBS1E5,1
CA,DoBS1E5,2
HSH,DoBS1E5,2
CA,DoBS1E6,1
CA,DoBS1E6,2
JC,DoBS1E6,2
CA,DoBS1E7,1
CA,DoBS1E7,2
RM,DoBS1E7,2
CA,DoBS1E8,1
CA,DoBS1E8,2
GH,DoBS1E8,2
CA,DoBS1E9,1
CA,DoBS1E9,2
CA,DoBS1E10,1
CA,DoBS1E10,2
AR,DoBS1E10,2
CA,SlBo,1
CA,SlBo,2
CA,ZeNe,1
CA,ZeNe,2
CA,FrLa,1
CA,FrLa,2
CA,AbGe,1
CA,AbGe,2
CA,SteiNiAu,1
CA,SteiNiAu,2
CA,HaBrue,1
CA,BaLa,1
CA,TaWiHa,1
CA,TaKo,1
CA,TaDeGroSchme,1
CA,TaFeFeu,1
CA,TaTschi,1
IZ,TheMo,2
IZ,Ka08,2
IZ,WisidiWe,2
IZ,BruSchwaMa,2
IZ,EiAte,2
EY,DeGre,2
EY,TaAlMeiJu,2
EY,TaDaHaEnStra,2
EY,TaHideSpie,2
EY,TaEsledeTo,2
EY,TaDieWa,2
EY,TaDeTogaLe,2
EY,TaWejealis,2
EY,TaEiTawijean,2
EY,TaDaNe,2
EY,TaPara,2
EY,TaDaOpf,2
EY,TaMeta,2
EY,Sou,2
EY,Hau,2
EY,Exit,2
EY,NoHa,2
EY,SlBo,2
MP,Ok19,2
MP,TaDaHaEnStra,2
MP,Po110,2
MP,GeCriSto,2
MP,Heustihiekai,2
MP,TaImSchmege,2
MP,TaWeWiern,2
MP,TaWikrieeu,2
MP,DaweiKa,2
MP,Schwa23uHadeTo,2
MP,Dri,2
HSH,SlBo,2
HSH,Fu,2
HSH,LeSpuBe,2
HSH,KoevoDeu,2
JC,LeSpuBe,2
JC,DeKr,2
JC,DueEiNoKri,2
JC,TaFriosti,2
JC,TaKauMau,2
JC,DiKaeVe,2
JC,LeiLa,2
JC,OffDaLeikeiBo,2
JC,LaofGi,2
RM,LeSpuBe,2
RM,AnEl,2
RM,BaBa,2
RM,KaFfo,2
RM,DeLe,2
RM,LoSchoe,2
GH,SpeLi,2
GH,MoimNo,2
GH,SOLe,2
GH,DE83,2
GH,SOKoe,2
GH,ProT,2
GH,DiChe,2
AR,ZeNe,2
AR,SlBo,2
AR,BoKiWo,2
AR,TraFa,2
AR,RounKla,2
AR,Schnefloe,2
AR,UnZeiije,2
AR,Kryo,2
AR,Unplu,2
AR,EnidiEn,2
AR,Wisihi,2
AR,Aubli,2
VA,KS1E1,1
VA,TaZue,1
VA,TaScho,1
VA,DiDr,1
VA,KeCaCuOn,1
VA,Rumo,1
VA,KeHefuIn,1
VA,HaundeNe,1
VA,SiSaAu,1
VA,SchuUmSchu,1
VA,HaUnDeHu,1
VA,FuLo,1
HH,KS1E1,2
RK,KS1E1,2
BK,KS1E1,2
VA,KS1E2,1
HH,KS1E2,2
RK,KS1E2,2
BK,KS1E2,2
VA,KS1E3,1
HH,KS1E3,2
RK,KS1E3,2
BK,KS1E3,2
JBC,KS1E4,1
HH,KS1E4,2
RK,KS1E4,2
BK,KS1E4,2
JBC,KS1E5,1
HH,KS1E5,2
RK,KS1E5,2
BK,KS1E5,2
JBC,KS1E6,1
JBC,DeWiKr,1
JBC,Mapa,1
JBC,BliErSevoWi,1
JBC,Dru,1
JBC,BliErMaevoWi,1
JBC,EiMaEiWa,1
JBC,CuNiSchu,1
JBC,StuAm,1
HH,KS1E6,2
HH,GuFr,2
BK,GuFr,2
RK,GuFr,2
HH,PaWeKi,2
RK,PaWeKi,2
BK,PaWeKi,2
HH,FuFoDo,2
BK,FuFoDo,2
HH,TaLoisPa,2
BK,TaLoisPa,2
HH,SOPo,2
BK,SOPo,2
RK,SOPo,2
HH,SpeLi,2
BK,SpeLi,2
RK,SpeLi,2
HH,4Blo,2
RK,4Blo,2
BK,4Blo,2
HH,MoimNo,2
BK,MoimNo,2
HH,LaunEr,2
BK,LaunEr,2
RK,LaunEr,2
HH,YoArWa,2
RK,YoArWa,2
BK,YoArWa,2
HH,SOLe,2
BK,SOLe,2
RK,SOLe,2
HH,KounHa,2
RK,KounHa,2
BK,KounHa,2
HH,VeLie,2
BK,DeklRaSo,2
BK,DaZei,2
RK,WoEnRe,2
RK,LaXMa,2
RK,HotoDa,2
RK,DeRVoLenaWi,2
RK,DaWiim Le,2
RK,JoKL,2
RK,DeKna,2
RK,ThLaCo,2
RK,DeleBu,2
RK,KS1E6,2
BK,KS1E6,2
ZGP,KS1E7,4
JBC,KS1E7,1
HH,KS1E7,2
RK,KS1E7,2
BK,KS1E7,2
ZGP,KS1E8,4
VA,KS1E8,1
HH,KS1E8,2
RK,KS1E8,2
BK,KS1E8,2
JP,RwS1E1,1
GT,RwS1E1,1
CB,RwS1E1,2
JP,RwS1E2,1
GT,RwS1E2,1
CB,RwS1E2,2
JP,RwS1E3,1
GT,RwS1E3,1
CB,RwS1E3,2
JP,RwS1E4,1
JP,DeleFl,1
JP,De911,1
JP,KrdeTr,1
JP,GePo,1
JP,GrWaDi,1
JP,14TaErWe,1
GT,RwS1E4,1
GT,JuCa,1
GT,ReSp,1
CB,JuCa,2
CB,ReSp,2
CB,DaFo,2
CB,RwS1E4,2
BbO,18S1E1,1
BbO,18S1E1,2
BBbO,SltoNa,1
BbO,WhAmIKeSysi,1
BbO,Ma1899,2
BbO,WhAmI,2
JF,18S1E1,2
JF,Ma1899,2
JF,WhAmIKeSysi,2
JLD,18S1E1,2
JLD,OvLu,2
BbO,18S1E2,1
BbO,18S1E2,2
JF,18S1E2,2
DM,18S1E2,2
DM,Tutienmior,2
DM,LoPrADN,2
DM,HidePr,2
DM,ElTe,2
DM,LoPrElre,2
DM,OnUsLy,2
DM,ElKuOmAnAl,2
DM,ElKuGuCaRe,2
DM,AiKi,2
DM,LoEl,2
DM,Lekounge,2
DM,Visipe,2
DM,ViRo,2
DM,Alquce,2
DM,ViCa,2
BbO,18S1E3,1
BbO,18S1E3,2
JF,18S1E3,2
EK,18S1E3,2
EK,Firs,2
EK,DaCi,2
EK,HoLa,2
EK,DaHo,2
BbO,18S1E4,1
BbO,18S1E4,2
JF,18S1E4,2
JBN,18S1E4,2
JBN,NoCr,2
JBN,Bupr,2
JBN,UnSt,2
JBN,Caal,2
JBN,EaEn,2
JBN,Hooa,2
BbO,18S1E5,1
BbO,18S1E5,2
JF,18S1E5,2
JLD,18S1E5,2
BbO,18S1E6,1
BbO,18S1E6,2
JF,18SE6,2
ENA,18S1E6,2
ENA,ThGu,2
ENA,ThGuSk,2
ENA,DoTeMeYoDr,2
ENA,JoTe,2
ENA,KaFr,2
ENA,Imo,2
ENA,Heve,2
ENA,Elte,2
ME,SlS1E1,1
ME,ThDi,1
ME,Stere,1
DS,SlS1E1,2
ME,SlS1E2,1
DS,SlS1E2,2
ME,SlS1E3,1
OL,SlS1E3,2
OL,Sl,2
DS,SlsS1E3,2
SY,SlsS1E4,1
DS,SlsS1E4,2
KZ,SlS1E4,2
KZ,DePA,2
KZ,ZEZeAb,2
SY,SlS1E5,1
OK,SlS1E5,2
Sl,OK,2
DS,SlS1E5,2
SY,SlS1E6,1
SY,SaEiSa,1
SY,De89,1
SY,MeKoTa,1
SY,SOLe,1
SY,HaohDa,1
AA,SlS1E6,2
AA,WaDu,2
AA,DiRoCo,2
AA,Stava,2
AA,MeBe,2
