id,name,sex,university,university_short,awards,type,genre,country,location,rating,year,Produktionsfirma,Tatort
HtsD,How to sell Drugs online fast,99,,,0,3,2,,,,,,
HtsDS1,HtsD Staffel 1,99,,,0,2,2,DE,Koeln,,2019,Bildundtonfabrik,99
HtsDS1E1,HtsD Staffel 1 Episode 1,99,,,0,2,2,DE,Koeln,"7,7",2019,Bildundtonfabrik,99
HtsDS1E2,HtsD Staffel 1 Episode 2,99,,,0,2,2,DE,Koeln,"7,8",2019,Bildundtonfabrik,99
HtsDS1E3,HtsD Staffel 1 Episode 3,99,,,0,2,2,DE,Koeln,"7,7",2019,Bildundtonfabrik,99
HtsDS1E4,HtsD Staffel 1 Episode 4,99,,,0,2,2,DE,Koeln,"7,8",2019,Bildundtonfabrik,99
HtsDS1E5,HtsD Staffel 1 Episode 5,99,,,0,2,2,DE,Koeln,"7,9",2019,Bildundtonfabrik,99
HtsDS1E6,HtsD Staffel 1 Episode 6,99,,,0,2,2,DE,Koeln,"8,4",2019,Bildundtonfabrik,99
LM,Lars Montag,1,Kunsthochschule fuer Medien in Koeln,KHM,2,1,2,,,,,,99
TrTi,Traeume sind wie wilde Tiger,99,,,0,2,2,DE,Mumbai,"6,4",2022,KiKA,99
WeHe,Werkstatthelden mit Herz,99,,,0,2,2,DE,,"5,4",2020,Film Line Productions GmbH,99
StJo,St Josef am Berg,99,,,0,2,2,AUT,Rauris,"5,3",2018,Mona Film Produktion,99
EiSeMi,Einsamkeit und Sex und Mitleid,99,,,0,2,2,DE,,"6,4",2017,Herzfeld Productions,99
HeKlKr,Herzblut Ein Kluftinger Krimi,99,,,0,2,4,DE,,"6,3",2016,Odeon Fiction,99
ScKlKr,Schutzpatron Ein Kluftinger Krimi,99,,,0,2,4,DE,,"6,8",2016,Odeon Fiction,99
MaRe,Matterns Revier,99,,,0,2,2,DE,,"6,2",2015,,99
MoGe,Mord in bester Gesellschaft,99,,,0,2,2,AUT,,"5,2",2015,,99
HeZe,Heiter bis toedlich Zwischen den Zeilen,99,,,0,2,4,DE,Aachen,"6,7",2013,,99
AF,Arne Feldhusen,1,Kunsthochschule fuer Medien in Koeln,KHM,2,1,2,,,,,,99
BuBa,Buba,99,,,0,2,2,DE,,"5,9",2022,Bildundtonfabrik,99
TaRe,Tatortreiniger,99,,,0,2,2,DE,,"8,5",2018,Studio Hamburg,99
De86,Deutschland 86,99,,,0,2,99,DE,,"7,6",2018,UFA Fiction,99
MaMy,Magical Mystery,99,,,0,2,2,DE,Hamburg,"6,5",2017,ARD Degeto Film,99
VoLe,Vorsicht vor Leuten,99,,,0,2,2,DE,,"6,3",2015,Lailaps Pictures,99
StBe,Stromberg,99,,,0,2,2,DE,Arnsberg,"7,3",2014,Brainpool,99
SC,Sebastian Colley,1,,,3,1,2,,,,,,1
LaOnLa,LOL Last One Laughing,99,,,0,2,2,DE,,"7,5",2021,Constantin Entertainment,99
HoTat,How to Tatort,99,,,0,2,99,DE,Bremen,"6,8",2020,,99
ExTr,Extra 3,99,,,0,2,2,WDE,,"7,4",2020,Norddeutscher Rundfunk,99
GuArOr,Gute Arbeit Originals,99,,,0,2,2,DE,Koeln,"8,6",2016,Bildundtonfabrik,99
NeMa,Neo Magazin,99,,,0,2,2,DE,,"7,8",2014,Bildundtonfabrik,99
UwEr,Die unwahrscheinlichen Ereignisse im Leben von,99,,,0,2,2,DE,,"7,2",2014,Bildundtonfabrik,99
PoHo,Ponyhof,99,,,0,2,2,DE,,5,2015,Endemol Deutschland,99
WaWe,Was waere wenn,99,,,0,2,2,DE,,"7,6",2014,,99
DuZe,Das Duell um die Zeit,99,,,0,2,2,DE,Koeln,"6,8",2014,,99
CiHaGa,Circus HalliGalli,99,,,0,2,2,DE,,"6,6",2013,Endemol Deutschland,99
StFr,Sturmfrei,99,,,0,2,99,DE,,"6,6",2013,Bumm Film,99
PK,Philipp Kaessbohrer,1,Kunsthochschule fuer Medien in Koeln,KHM,3,1,2,,,,,,99
KiSt,King of Stonks,99,,,0,2,2,DE,Berlin,"6,7",2020,Bildundtonfabrik,99
DrIn,Drinnen im Internet sind alle gleich,99,,,0,2,2,DE,,"7,6",2020,Bildundtonfabrik,99
KrMa,Kroymann,99,,,0,2,2,DE,,"7,1",2018,Radio Bremen,99
MM,Matthias Murmann,1,Kunsthochschule fuer Medien in Koeln,KHM,2,1,2,,,,,,99
HtsDS2,HtsD Staffel 2,99,,,0,2,99,,,,,,99
HtsDS2E1,HtsD Staffel 2 Episode 1,99,,,0,2,2,DE,Koeln,"8,1",2020,Bildundtonfabrik,99
HtsDS2E2,HtsD Staffel 2 Episode 2,99,,,0,2,2,DE,Koeln,"7,7",2020,Bildundtonfabrik,99
HtsDS2E3,HtsD Staffel 2 Episode 3,99,,,0,2,2,DE,Koeln,8,2020,Bildundtonfabrik,99
HtsDS2E4,HtsD Staffel 2 Episode 4,99,,,0,2,2,DE,Koeln,"8,1",2020,Bildundtonfabrik,99
HtsDS2E5,HtsD Staffel 2 Episode 5,99,,,0,2,2,DE,Koeln,"8,1",2020,Bildundtonfabrik,99
HtsDS2E6,HtsD Staffel 2 Episode 6,99,,,0,2,2,DE,Koeln,"8,5",2020,Bildundtonfabrik,99
MS,Mia Spengler,2,Filmakademie Baden Wuerttemberg,FABW,2,1,2,,,,,,1
StFeSc,Strafe nach Ferdinand von Schirach,99,,,0,2,4,DE,,"7,2",2022,MOOVIE the art of entertainment,99
TaGoZe,Tatort Die goldene Zeit,99,,,0,2,4,WDE,Hamburg,"6,4",2019,Wueste Medien,99
TaScLe,Tatort Schattenleben,99,,,0,2,4,DE,Hamburg,6,2022,,99
FlLe,Fluss des Lebens,99,,,0,2,6,DE,,"5,8",2019,Schiwago Film,99
LeNiKl,Leg dich nicht mit Klara an,99,,,0,2,2,DE,Stuttgart,"5,2",2017,UFA Fiction,99
BaGo,Back for Good,99,,,0,2,2,DE,,"6,5",2017,Zum goldenen Lamm Filmproduktion,99
NiBoBe,Nicht den Boden beruehren,99,,,0,2,6,DE,,,2013,,99
NT,Natalie Thomas,2,Internationale Filmschule Koeln,IFS,0,1,2,,,,,,99
ST,Stefan Titze,1,Hochschule Macromedia,MHMK,1,1,2,,,,,,99
KaLa,Karacholand,99,,,0,2,2,DE,,"5,6",2018,Nashorn FIlmhaus AG,99
MF,Mats Frey,1,Zuercher Hochschule der Kuenste,ZHdK,1,1,2,,,,,,1
TsUg,Tschugger,99,,,0,2,2,CHE,Wallis,"8,3",2021,Shining Film,99
WaPo,WaPo Bodensee,99,,,0,2,4,DE,Bodensee,"4,9",2020,Saxonia Media Filmproduktionsgesellschaft,99
FuUm,Fuer Umme die Serie,99,,,0,2,2,DE,Berlin,"6,6",2019,Eotv,99
TaZwLe,Tatort Zwei Leben,99,,,0,2,4,DE,,"5,3",2017,ARD,99
TaElRa,Tatort Der Elefant im Raum,99,,,0,2,4,CHE,Lucerne,"5,1",2019,ARD,99
BeSt,Der Bestatter,99,,,0,2,4,CHE,,"7,3",2017,Snake Films,99
HtsDS3,HtsD Staffel 3,99,,,0,2,2,DE,Koeln,,2021,Bildundtonfabrik,99
HtsDS3E1,HtsD Staffel 3 Episode 1,99,,,0,2,2,DE,Koeln,"7,2",2021,Bildundtonfabrik,99
HtsDS3E2,HtsD Staffel 3 Episode 2,99,,,0,2,2,DE,Koeln,"7,6",2021,Bildundtonfabrik,99
HtsDS3E3,HtsD Staffel 3 Episode 3,99,,,0,2,2,DE,Koeln,"7,7",2021,Bildundtonfabrik,99
HtsDS3E4,HtsD Staffel 3 Episode 4,99,,,0,2,2,DE,Koeln,"7,9",2021,Bildundtonfabrik,99
HtsDS3E5,HtsD Staffel 3 Episode 5,99,,,0,2,2,DE,Koeln,"8,3",2021,Bildundtonfabrik,99
HtsDS3E6,HtsD Staffel 3 Episode 6,99,,,0,2,2,DE,Koeln,"8,4",2021,Bildundtonfabrik,99
Rw,Rohwedder Einigkeit Mord und Freiheit,99,,,0,3,99,,,,,,99
RwS1,Rw Staffel 1,99,,,0,2,4,DE,Berlin,,2020,Gebrueder Beetz Filmproduktion,99
RwS1E1,Rw Staffel 1 Episode 1,99,,,0,2,4,DE,Berlin,"7,3",2020,Gebrueder Beetz Filmproduktion,99
RwS1E2,Rw Staffel 1 Episode 2,99,,,0,2,4,DE,Berlin,"7,4",2020,Gebrueder Beetz Filmproduktion,99
RwS1E3,Rw Staffel 1 Episode 3,99,,,0,2,4,DE,Berlin,7,2020,Gebrueder Beetz Filmproduktion,99
RwS1E4,Rw Staffel 1 Episode 4,99,,,0,2,4,DE,Berlin,7,2020,Gebrueder Beetz Filmproduktion,99
JP,Jan Peter,1,,,1,1,4,,,,,,99
DeleFl,Der letzte Flug Ein deutsches Geheimnis,99,,,0,2,4,DE,,"8,2",2022,DOKfilmFernsehproduktion,99
De911,Deutschland 911,99,,,0,2,99,DE,Hamburg,"8,7",2021,DKfilmFernsehproduktion,99
KrdeTr,Krieg der Traeume,99,,,0,2,6,AU,,"7,8",2018,LOOKSfilm,99
GePo,Geheimauftrag Pontifex Der Vatikan im Kalten Krieg,99,,,0,2,99,DE,,"8,2",2015,DOKfilm Fernsehproduktion GmbH,99
GrWaDi,Great War Diaries,99,,,0,2,99,,,"8,8",2014,LOOKSfilm,99
14TaErWe,14 Tagebuecher des Ersten Weltkriegs,99,,,0,2,6,,,"8,5",2014,LOOKSfilm,99
GT,Georg Tschurtschenthaler,1,Wirtschaftsuniversitaet Wien,WU,1,1,4,,,,,,99
CB,Christian Beetz,1,Humboldt Universitaet Berlin,HU,2,1,4,,,,,,99
JuCa,Juan Carlos Downfall of the King,99,,,0,2,6,DE,Madrid,"7,1",2023,Gebrueder Beetz Filmproduktion,99
ReSp,Reeperbahn Spezialeinheit FD65,99,,,0,2,4,DE,,"8,2",2022,Gebrueder Beetz Filmproduktion,99
DaFo,Das Forum Rettet Davos die Welt,99,,,0,2,99,DE,,"7,2",2019,Gebrueder Beetz Filmproduktion,99
DiKu,Die Kulturakte,99,,,0,2,99,DE,,"6,8",2013,Gebrueder Beetz Filmproduktion,99
18,1899,99,,,1,3,99,,,,,,99
18S1,18 Staffel 1,99,,,0,2,6,,Berlin,,2022,Dark Ways,99
