id,name,sex,university,university_short,awards,type,genre,country,location,rating,year,Produktionsfirma
HtsDS1,Staffel 1,,,,,2,2,DE,Koeln,,2019,Bildundtonfabrik
HtsDS1E1,Staffel 1 Episode 1,,,,,2,2,DE,Koeln,"7,7",2019,Bildundtonfabrik
HtsDS1E2,Staffel 1 Episode 2,,,,,2,2,DE,Koeln,"7,8",2019,Bildundtonfabrik
HtsDS1E3,Staffel 1 Episode 3,,,,,2,2,DE,Koeln,"7,7",2019,Bildundtonfabrik
HtsDS1E4,Staffel 1 Episode 4,,,,,2,2,DE,Koeln,"7,8",2019,Bildundtonfabrik
HtsDS1E5,Staffel 1 Episode 5,,,,,2,2,DE,Koeln,"7,9",2019,Bildundtonfabrik
HtsDS1E6,Staffel 1 Episode 6,,,,,2,2,DE,Koeln,"8,4",2019,Bildundtonfabrik
LM,Lars Montag,1,Kunsthochschule fuer Medien in Koeln,KHM,2,1,,,,,,
TrTi,Traeume sind wie wilde Tiger,,,,,2,2,DE,Mumbai,"6,4",2022,KiKA
WeHe,Werkstatthelden mit Herz,,,,,2,2,DE,,"5,4",2020,Film Line Productions GmbH
StJo,St Josef am Berg,,,,,2,2,AUT,Rauris,"5,3",2018,Mona Film Produktion
EiSeMi,Einsamkeit und Sex und Mitleid,,,,,2,2,DE,,"6,4",2017,Herzfeld Productions
HeKlKr,Herzblut Ein Kluftinger Krimi,,,,,2,4,DE,,"6,3",2016,Odeon Fiction
ScKlKr,Schutzpatron Ein Kluftinger Krimi,,,,,2,4,DE,,"6,8",2016,Odeon Fiction
MaRe,Matterns Revier,,,,,2,2,DE,,"6,2",2015,
MoGe,Mord in bester Gesellschaft,,,,,2,2,AUT,,"5,2",2015,
HeZe,Heiter bis toedlich Zwischen den Zeilen,,,,,2,4,DE,Aachen,"6,7",2013,
AF,Arne Feldhusen,1,,,2,1,,,,,,
BuBa,Buba,,,,,2,2,DE,,"5,9",2022,Bildundtonfabrik
TaRe,Tatortreiniger,,,,,2,2,DE,,"8,5",2011,Studio Hamburg
De86,Deutschland 86,,,,,2,,DE,,"7,6",2018,UFA Fiction
MaMy,Magical Mystery,,,,,2,2,DE,Hamburg,"6,5",2017,ARD Degeto Film
VoLe,Vorsicht vor Leuten,,,,,2,2,DE,,"6,3",2015,Lailaps Pictures
StBe,Stromberg,,,,,2,2,DE,Arnsberg,"7,3",2014,Brainpool
SC,Sebastian Colley,1,,,3,1,,,,,,
LaOnLa,LOL Last One Laughing,,,,,2,2,DE,,"7,5",2021,Constantin Entertainment
HoTat,How to Tatort,,,,,2,,DE,Bremen,"6,8",2020,
ExTr,Extra 3,,,,,2,2,WDE,,"7,4",2011,Norddeutscher Rundfunk
GuArOr,Gute Arbeit Originals,,,,,2,2,DE,Koeln,"8,6",2016,Bildundtonfabrik
NeMa,Neo Magazin,,,,,2,2,DE,,"7,8",2014,Bildundtonfabrik
UwEr,Die unwahrscheinlichen Ereignisse im Leben von,,,,,2,2,DE,,"7,2",2014,Bildundtonfabrik
PoHo,Ponyhof,,,,,2,2,DE,,5,2015,Endemol Deutschland
WaWe,Was waere wenn,,,,,2,2,DE,,"7,6",2014,
DuZe,Das Duell um die Zeit,,,,,2,2,DE,Koeln,"6,8",2014,
CiHaGa,Circus HalliGalli,,,,,2,2,DE,,"6,6",2013,Endemol Deutschland
StFr,Sturmfrei,,,,,2,,DE,,"6,6",2011,Bumm Film
PK,Philipp Kaessbohrer,1,Kunsthochschule fuer Medien in Koeln,KHM,3,1,,,,,,
KiSt,King of Stonks,,,,,2,2,DE,Berlin,"6,7",2020,Bildundtonfabrik
DrIn,Drinnen im Internet sind alle gleich,,,,,2,2,DE,,"7,6",2020,Bildundtonfabrik
KrMa,Kroymann,,,,,2,2,DE,,"7,1",2018,Radio Bremen
MM,Matthias Murmann,1,Kunsthochschule fuer Medien in Koeln,KHM,2,1,,,,,,
HtsDS2E1,,,,,,2,2,DE,Koeln,"8,1",2020,Bildundtonfabrik
